				BA_1	BA_2	BA_3	BA_4	SF_1	SF_2	SF_3	SF_4
ENSBTAG00000000005_GRK3	GRK3	GRK3	GRK3	1	11	3	0	0	0	0	0
ENSBTAG00000000008_KCNJ1	KCNJ1	KCNJ1	KCNJ1	0	2	0	0	0	0	0	0
ENSBTAG00000000009_FOXF1	FOXF1	FOXF1	FOXF1	10	8	4	5	0	6	0	0
ENSBTAG00000000010_UBL7	UBL7	UBL7	UBL7	379	268	244	271	128	286	343	222
ENSBTAG00000000011_TDH	TDH	TDH	TDH	0	0	0	0	0	0	0	0
ENSBTAG00000000012_TTC33	TTC33	TTC33	TTC33	62	45	37	40	26	30	13	31
ENSBTAG00000000013_PRKAA1	PRKAA1	PRKAA1	PRKAA1	217	67	155	210	49	111	128	54
ENSBTAG00000000014_TXN2	TXN2	TXN2	TXN2	2834	1712	1514	1855	770	956	558	884
ENSBTAG00000000015_FOXRED2	FOXRED2	FOXRED2	FOXRED2	0	0	3	0	0	0	0	0
ENSBTAG00000000016_LTA	LTA	LTA	LTA	0	0	0	7	0	0	0	0
ENSBTAG00000000019_SERINC1	SERINC1	SERINC1	SERINC1	968	548	559	828	685	907	684	931
ENSBTAG00000000020_TRPV3	TRPV3	TRPV3	TRPV3	69	5	42	30	228	225	297	220
ENSBTAG00000000021_WASHC3	WASHC3	WASHC3	WASHC3	184	71	136	159	120	94	41	133
ENSBTAG00000000022_NUP37	NUP37	NUP37	NUP37	267	155	229	138	11	60	39	38
ENSBTAG00000000023_RNF2	RNF2	RNF2	RNF2	56	29	58	52	14	37	24	42
ENSBTAG00000000024_DYM	DYM	DYM	DYM	227	263	234	169	151	153	267	246
ENSBTAG00000000025_RAB6A	RAB6A	RAB6A	RAB6A	1260.5	752.42	1331.51	1146.42	395.89	826.58	978.52	939.54
ENSBTAG00000000026_VPS33B	VPS33B	VPS33B	VPS33B	178	90	169	122	39	101	134	76
ENSBTAG00000000027_IGFL1	IGFL1	IGFL1	IGFL1	0	0	2	0	0	0	0	0
ENSBTAG00000000029_LYZL6	LYZL6	LYZL6	LYZL6	0	1	0	4	0	0	0	0
